"Occupation","Skill Vec","Description","Cluster K-15","Cluster K-25","Cluster K-30","Cluster Agg-25","Cluster Agg_25","Cluster Agg-35","Cluster Agg_35","Cluster K-30_Bis","Domain of Interest"
"corporate training manager","labourlegislation businessmanagementprinciples businessintelligence assessmentprocesses adulteducation projectmanagement cybersecurity economics financialmarkets employmentlaw organisationallearning humanresourcesdepartmentprocesses qualityassurancemethodologies businessICTsystems videoconferencingtool curriculumobjectives InternetofThings applycompanypolicies managescheduleoftasks promotegenderequalityinbusinesscontexts managebudgets monitordevelopmentsinfieldofexpertise organisestaffassessment complywithlegalregulations developtrainingprogrammes evaluateperformanceoforganisationalcollaborators workinteams applystrategicthinking managecorporatetrainingprogrammes monitorcompanypolicy evaluatetraining thinkcritically negotiateemploymentagreements providetraininginsustainabletourismdevelopmentandmanagement trackkeyperformanceindicators supervisestaff managepayroll coordinateoperationalactivities identifynecessaryhumanresources adapttrainingtolabourmarket giveconstructivefeedback performproductplanning makedecisions negotiatewithemploymentagencies buildbusinessrelationships developcorporatetrainingprogrammes liaisewithmanagers developemployeeretentionprograms identifywiththecompany'sgoals communication healthandsafetyintheworkplace organisationalpolicies wastemanagement consultation trainingsubjectexpertise financialmanagement energyefficiency teamworkprinciples conflictmanagement e-commercesystems businesscommunication supplychainprinciples leadershipprinciples humanresourcemanagement companypolicies supplychainmanagement coachemployees deliveronlinetraining provideinformationonstudyprogrammes adapttochange adoptwaystoreducenegativeimpactofconsumption promoteeducationcourse promoteenvironmentalawareness evaluateemployees workwithvirtuallearningenvironments developprofessionalnetwork applytechnicalcommunicationskills planmediumtolongtermobjectives teachcorporateskills mitigatewasteofresources","**Job Description: Corporate Training Manager**

A Corporate Training Manager is like the coach of a school team, but instead of sports, they focus on teaching employees new skills and knowledge they need for their jobs. Every day, this manager plans and runs various training programs that help workers understand more about topics like safety rules, how to handle computer systems, or even how to get along better in the workplace.

Their job involves a lot of planning, where they have to figure out what sort of training everyone needs, and then organize schedules and materials to make these learning sessions happen effectively. They also have to keep an eye on the budget to make sure they're not spending too much money.

Besides just teaching courses, they're involved in higher-level thinking, trying to make sure that the trainings they offer will help the company succeed in the long run. They work closely with different departments to ensure that everyone is on the same page and moving towards common goals.

The role also includes evaluating how well employees do after training to ensure everyone is growing and learning effectively. This job requires a good mix of teaching, planning, and teamwork to help ensure everyone at the company can do their best work.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"costume buyer","aesthetics placeordersforclothingmerchandise identifysuppliers managebudgets markdifferencesincolours maintainrelationshipwithsuppliers placeordersfortextilematerials analysecostumesketches communicatepricechanges photography filmproductionprocess dressmaking fabrictypes filmstudies lightingtechniques documentcostumestock assemblecostumeparts conductcostumeresearch ensurecontinuousstylingofartists coordinatepurchasingactivities definecostumematerials selectcostumes managelogistics organisecostumefittings managerentedgoodsreturns synthesiseclothingwithaccessories keepuptodateoncostumedesign maintaininventoryofrenteditems maintaincostumes checkdeliveriesonreceipt","**Job Title: Costume Buyer**

A Costume Buyer is a creative and organized person who works closely with movie and theater production teams to get the right costumes ready for actors. Here's what they do:

- **Work with Designs:** Look at costume sketches from designers to understand what clothes and materials are needed.
- **Shop for Costumes:** Find and buy clothing and fabric materials that match perfectly with the costume designs. This means knowing different fabric types and how colors can look different in various lights.
- **Budget Management:** Manage money carefully to make sure all costumes are bought within the set budget.
- **Supplier Relations:** Build and maintain good relationships with people who supply clothes and accessories.
- **Logistics and Coordination:** Organize how costumes are moved from place to place and arrange when actors try on their costumes to ensure a good fit.
- **Quality Control:** Check every delivered item to make sure they meet the quality and style needed for the production.
- **Record Keeping:** Keep track of all costumes, especially those rented, and manage their return after the show’s done.

Overall, a Costume Buyer is essential in bringing a character’s look from paper sketches to life on stage or screen, making sure every costume is perfect for each scene!","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"crane technician","blueprints mechanics repaircraneequipment installelectricalandelectronicequipment maintaincraneequipment conductroutinemachinerychecks readstandardblueprints setupcrane installcraneequipment interpret3Dplans inspectcraneequipment securecrane interpret2Dplans followsafetyprocedureswhenworkingatheights hydraulics craneloadcharts electronics electricity setuptowercrane performriskanalysis resolveequipmentmalfunctions operaterailwayleverframes troubleshoot adviseonsafetyimprovements useriggingtools operatemobilecrane preparecompliancedocuments operatetowercrane applytechnicalcommunicationskills operatecranes writerecordsforrepairs","**Job Title: Crane Technician**

As a Crane Technician, your main job is to make sure cranes work properly and safely. Cranes are big machines used to lift heavy items. Here’s what you’ll do:

- **Setup and Install:** You’ll put together and install parts of the crane.
- **Maintenance and Repairs:** You’ll regularly check cranes to make sure they are in good shape and fix anything that’s broken.
- **Read and Understand Plans:** You’ll look at blueprints (like a builder’s plan but for machines) and 3D models to understand how everything fits together.
- **Safety Checks:** Since working with cranes can be dangerous, you’ll carefully follow safety rules and make sure the crane is safe to operate.
- **Operate Cranes:** You’ll actually run different types of cranes, like tower cranes or mobile cranes.
- **Troubleshooting:** If there’s a problem, you’ll need to figure out what's wrong and how to fix it.
- **Keep Records:** You’ll write down what repairs you did, so there’s a history of what’s been fixed.

By doing these tasks, you ensure that cranes can do their job lifting heavy stuff, which is super important on construction sites and other areas where they are used.","10","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"credit risk analyst","risktransfer financialforecasting financialmanagement riskmanagement internationalcommercialtransactionsrules assessmentofrisksandthreats riskidentification economics financialanalysis financialjurisdiction applycreditriskpolicy producestatisticalfinancialrecords adviseonriskmanagement preventfraudulentactivities analysemarketfinancialtrends applystatisticalanalysistechniques managecurrencyexchangeriskmitigationtechniques negotiatesalescontracts managefinancialrisk writework-relatedreports inspectdata analysethecredithistoryofpotentialcustomers createriskreports carryoutstatisticalforecasts delivervisualpresentationofdata havecomputerliteracy assessriskfactors analysefinancialrisk createriskmaps applycreditstresstestingmethodologies debtcollectiontechniques MonteCarlosimulation informationconfidentiality teamworkprinciples createsolutionstoproblems performdataanalysis speakdifferentlanguages applyinformationsecuritypolicies enforcecustomer'sdebtrepayment showdiplomacy","**Job Description: Credit Risk Analyst**

Are you good with numbers and interested in how companies manage money risks? As a Credit Risk Analyst, you’ll play a crucial role in helping companies avoid bad debt and manage potential financial risks efficiently. 

Every day, you’ll assess the financial background of people or companies to decide if they’re reliable enough to be given credit. This involves deep diving into their credit history, analyzing financial trends in the market, and predicting future risks. Your toolbox will include creating detailed financial reports, forecasting risks with advanced math models like Monte Carlo simulations, and ensuring all operations respect financial laws.

You'll also get to work with different teams to brainstorm and resolve challenges, share your findings through clear visual presentations, and offer advice on how to stay clear of possible frauds. This job is vital for the company’s health, ensuring it only enters into safe deals and agreements. Moreover, managing risks related to foreign currency transactions and negotiating contracts will be part of your responsibilities. 

Key skills include a sharp eye for detail, strong computer proficiency, and an ability to work with complex data. If you love solving puzzles and making strategic decisions, this might be the right path for you!","9","10","25","2","2","4","4","22","Agriculture and Animal Husbandry"
"crisis helpline operator","healthcareoccupation-specificethics crisisintervention companypolicies applyqualitystandardsinsocialservices protectvulnerablesocialserviceusers contributetoprotectingindividualsfromharm developprofessionalidentityinsocialwork maintainprivacyofserviceusers actdiscreetly assesssocialserviceusers'situation relateempathetically listenactively managesocialcrisis adheretoorganisationalguidelines maintainrecordsofworkwithserviceusers havecomputerliteracy toleratestress applyorganisationaltechniques communicatebytelephone considersocialimpactofactionsonserviceusers providesocialguidanceoverthephone acceptownaccountability counsellingmethods communication strategiesforhandlingcasesofelderabuse usecomputertelephonyintegration empowersocialserviceusers applycrisisintervention analysecallperformancetrends helpclientscopewithgrief promotehumanrights advocateforsocialserviceusers maintainrecordsofphonecalls adviseonmentalhealth maintaintelephonysystem refersocialserviceusers informontherisksofsubstanceandalcoholabuse","**Job Description: Crisis Helpline Operator**

As a Crisis Helpline Operator, you’ll be the first point of contact for people who are facing urgent social issues or personal emergencies. Your job is to listen carefully and empathetically to callers, understand their situations, and provide immediate support and guidance over the phone. You will use your knowledge in healthcare, ethics, and counselling methods to help protect and empower individuals who are going through tough times.

On a daily basis, you’ll be expected to:

- Handle calls professionally while respecting caller privacy.
- Assess the caller’s needs and situation quickly and efficiently.
- Offer support, advice, and information about risks like substance and alcohol abuse.
- Connect callers with additional resources or help them get further assistance if needed.
- Keep detailed records of all calls in line with company and privacy policies.
- Maintain our phone systems and use computer software to log calls and follow up on cases.

This role requires a strong ability to manage stress, communicate clearly, and a sense of responsibility. You will play a crucial part in safeguarding individuals’ rights and helping them navigate through their crises effectively.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"crosscut saw operator","sawingtechniques qualitystandards woodcuts typesofwood logging operatecrosscutsaw handlesawsecurely identifyhazardsintheworkplace sharpenedgedtools keepsawingequipmentingoodcondition operatewoodsawingequipment typesofcrosscutsaws woodworkingtools firstaid monitorloggingoperations operatecircularsaw identifytreestofell de-limbtrees planloggingoperations managelogstransfer distinguishtypesofsaws usehandtoolsforforestrywork inspecttrees cleanequipment operatechainsaw felltrees selecttreefellingmethods climbtrees","**Job Description: Crosscut Saw Operator**

As a Crosscut Saw Operator, your main job is to handle saws, especially crosscut saws, to cut down trees and prepare the wood in a logging operation. You will need to know different sawing techniques and the types of saws used – like crosscut saws, circular saws, and chainsaws. Understanding the characteristics of various woods and how best to cut them is crucial.

Every day, you will:

- Operate different saws to fell trees, de-limb them, and cut them into specified sizes.
- Make sure all saws and other tools are sharp, clean, and in good working condition.
- Choose the best methods for cutting and felling trees based on their type and the surrounding environment.
- Keep an eye on overall logging operations to ensure everything runs smoothly and safely.
- Follow quality standards to meet the requirements for wood products.
- Identify any potential hazards and know basic first aid to manage minor injuries.

Safety is key in this job, so you’ll use your skills to work securely and efficiently, keeping both yourself and your team safe while managing and maintaining the natural environment you work in.","9","10","10","0","0","13","13","22","Agriculture and Animal Husbandry"
"crossing guard","actascontactpersonduringequipmentincident roadtrafficlaws providefirstaid stayalert interprettrafficsignals workinshifts writesignallingreports trafficsigns toleratestress assistemergencyservices usesignallingequipment recordlicenseplatesofviolators ensurepublicsafetyandsecurity reactcalmlyinstressfulsituations managemajorincidents educatepubliconroadsafety regulatetraffic escortpedestriansacrossstreets reportchildrenunsafebehaviour localgeography monitortrafficflow stopspeedingvehicles instructpublic informdriversofdetourroutes dealwithaggressivebehaviour","**Job Title: Crossing Guard**

**Job Description:**

As a Crossing Guard, your primary responsibility is to ensure the safety of pedestrians, especially schoolchildren, as they cross the streets. You'll help manage the flow of both vehicles and pedestrians during busy times like school start and end times. Key duties include:

- **Regulating Traffic:** Direct the movement of traffic using signals and signs to safely escort people across streets. You'll need to know road traffic laws and traffic signs well.
- **Safety Vigilance:** Stay alert at all times and be aware of your surroundings to prevent accidents. This includes monitoring the speed of vehicles and stepping in to stop speeding drivers if necessary.
- **Emergency Handling:** Provide basic first aid if needed, respond calmly in stressful situations, and assist emergency services during major incidents.
- **Communication & Reporting:** Serve as a point of contact during any incidents, educate the public about road safety, and write reports about traffic flow, signaling, and potentially unsafe behavior you observe.
- **Knowledge of Area:** Use your understanding of local geography to inform drivers about detour routes and communicate effectively with both children and adults.

Your role is crucial in keeping the community safe and ensuring a secure environment for pedestrians.
","6","5","5","2","2","2","2","22","Agriculture and Animal Husbandry"
"cultural archive manager","artcollections conservationtechniques collectionmanagement projectmanagement museumdatabases createcollectionconservationplan managebudgets managestaff superviseartefactmovement monitorartisticactivities establishhighstandardsofcollectionscare implementriskmanagementforworksofart monitormuseumenvironment adviseonloansofartworkforexhibitions respectculturaldifferencesinthefieldofexhibition performclericalduties supervisework documentmuseumcollection copewithchallengingdemands collectionmanagementsoftware arthistory budgetaryprinciples coachemployees compiledetailedcollectioninventory provideprojectinformationonexhibitions assessmuseumobjectcondition identifyprocessimprovements coordinateoperationalactivities presentexhibition managearchive evaluateartquality studyacollection handleartworks managedigitalarchives","**Job Title: Cultural Archive Manager**

As a Cultural Archive Manager, you'll be in charge of a museum's collection of artworks and historical items. Your daily tasks include making sure all pieces are well cared for and stored properly using the latest conservation techniques. You'll oversee the movement of artworks, ensuring they're handled safely, and you'll be responsible for setting up and managing records in museum databases. 

You’ll also handle the museum's budget, making sure money is spent wisely, and supervise a team, helping them perform their tasks effectively. Part of your job is to plan and manage exhibitions, deciding which pieces get shown and ensuring everything runs smoothly. You'll assess the condition of museum objects regularly and find ways to improve how the museum operates.

Additionally, you’ll be advising on which artworks can be loaned out for exhibits elsewhere, considering cultural sensitivities and artwork safety. You might also spend time researching particular collections and documenting your findings.

In short, this job combines art knowledge with management skills, requiring you to look after both the art and the people working with it, ensuring the collection is preserved and appreciated by others.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"cultural visitor services manager","manageartfacilitiesstaff createculturalvenueoutreachpolicies evaluateculturalvenueprogrammes workwithculturalvenuespecialists planarteducationalactivities developeducationalresources createculturalvenuelearningstrategies developoutreachtrainingplans promoteculturalvenueevents establisheducationalnetwork approvereportsforartisticproject consultexhibitionorganisers evaluateculturalvenuevisitorneeds ensureinfrastructureaccessibility managevolunteers assemblehealthandsafetyresourcesinculturalvenues developartisticeducationalactivities promoteculturalvenueinschools","**Job Title: Cultural Visitor Services Manager**

**Job Description:**

As a Cultural Visitor Services Manager, you will oversee and improve the experience of visitors at a cultural venue, such as a museum or art gallery. Your day-to-day responsibilities include:

- **Managing Staff**: You will be in charge of the team that helps run the venue, making sure they are happy and effective in their roles.
- **Planning and Evaluating Programs**: You’ll create fun and educational activities for visitors and assess how well current programs are doing.
- **Outreach and Promotion**: Part of your job is to let the community know about events and educational opportunities at the venue. You’ll work on making connections with schools to encourage visits and learning.
- **Developing Resources and Strategies**: You will develop learning materials and strategies to help visitors get the most out of their visits.
- **Ensuring Accessibility**: It’s important that everyone can enjoy what the venue has to offer, so you’ll ensure that the venue is accessible to all, including managing any necessary changes to the infrastructure.
- **Safety and Compliance**: You will ensure that all health and safety guidelines are followed and create plans for any emergencies.

This role is key in making sure that visitors have an informative, engaging, and safe experience at the cultural venue.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"customer contact centre information clerk","customerinsight characteristicsofproducts customerservice characteristicsofservices guaranteecustomersatisfaction communicatewithcustomers usedatabases answerincomingcalls keeprecordsofcustomerinteraction performcustomermanagement collectcustomerdata providecustomerfollow-up establishcustomerrapport communicatebytelephone knowledgebase customerrelationshipmanagement call-centretechnologies discernwrittencommunication handlehelpdeskproblems followupordersforcustomers analysecallperformancetrends providecustomerswithorderinformation assistcustomers contactcustomers measurecustomerfeedback preparecorrespondenceforcustomers improvecustomerinteraction processpayments carryoutactiveselling providecustomerswithpriceinformation notifycustomersonspecialoffers draftcorporateemails","**Job Description: Customer Contact Centre Information Clerk**

As a Customer Contact Centre Information Clerk, you’ll be the go-to person for customers over the phone. Your main job is to help customers by answering their questions about products or services, helping them with orders, and solving any problems they might have.

Here's what you'll do every day:
- **Talk to Customers:** You'll spend a lot of time on the phone, listening to customers, understanding their needs, and giving them the right information about prices, special offers, or anything else they need to know.
- **Use Technology:** You’ll use different computer programs to keep track of customer details, look up information quickly, and ensure that other team members can see the customer's history too.
- **Solve Problems:** If a customer has an issue, like a wrong order or a defective product, you'll figure out how to fix it and make sure they end up happy.
- **Keep Records:** Every chat or call you make will be recorded so that we keep a history of how we’ve helped each customer.
- **Sell Products:** Sometimes, you'll let customers know about new products that might interest them and help make sales.

Your main goal is to make sure customers are happy and have a great experience every time they call us!","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"customer service representative","guaranteecustomersatisfaction createsolutionstoproblems listenactively salesactivities performmultipletasksatthesametime measurecustomerfeedback ensureclientorientation communicatewithcustomers identifycustomer'sneeds havecomputerliteracy providecustomerfollow-upservices processdata controlofexpenses applyconflictmanagement speakdifferentlanguages managescheduleoftasks relationshipmarketing upsellproducts customerservice usee-services determinechargesforcustomerservices e-commercesystems processrefunds carryoutactiveselling performdataanalysis knowledgebase applyknowledgeofhumanbehaviour implementcustomerfollow-up facilitateofficialagreement usecustomerrelationshipmanagementsoftware provideinformation consumerprotection contactcustomers keeprecordsofcustomerinteraction performescalationprocedure dataminingmethods processorderformswithcustomer'sinformation processcustomerorders showdiplomacy","**Job Title: Customer Service Representative**

**Job Description:**

As a Customer Service Representative, your main goal is to help customers have a great experience with our company. You'll spend your day talking to customers over the phone, via email, or on chat services, understanding what they need, and helping solve any issues they might have.

Your key responsibilities include:
- **Helping Customers:** You'll listen carefully to what customers say, figure out what they need, and help solve their problems. This could involve answering questions about our products, handling returns or complaints, and making sure they're happy.
- **Selling Products:** Part of your job will be to suggest additional products that customers might like, which is called upselling.
- **Managing Data:** You'll use computer systems to keep track of customer conversations, orders, and feedback.
- **Multitasking:** You'll often do several things at once, like talking on the phone while entering information into our system.
- **Following Up:** You'll check back with customers to make sure their issues are resolved and they're satisfied with the solutions.

Your skills in different languages, understanding people's behavior, and using technology will all help you excel in this role.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"customs officer","customslaw licencesregulation adviseoncustomsregulations manageimportexportlicenses preventsmuggling checkofficialdocuments keepup-to-datetocurrentcustomsregulations adviseonlicencingprocedures surveillancemethods executeanalyticalmathematicalcalculations undertakeinspections providetestimonyincourthearings applyregulationsoncargotransportoperations usecommunicationtechniques posequestionsreferringtodocuments writework-relatedreports listenactively arrangecustomsinspection","**Job Description: Customs Officer**

As a Customs Officer, you are the gatekeeper of the country's borders. Your main job is to ensure that all goods coming into and going out of the country follow all laws and regulations. Each day, you will:

- **Check Documents:** Look over passports, permits, and shipping documents to ensure everything is valid.
- **Manage Licenses:** Help companies understand and obtain the right licenses for importing and exporting goods.
- **Prevent Smuggling:** Keep an eye out for illegal activities and prevent contraband items like drugs or weapons from being smuggled across the border.
- **Inspect Cargo:** Conduct detailed checks on various types of cargo to make sure they comply with regulations.
- **Stay Informed:** Keep up-to-date with the latest customs laws and regulations.
- **Advise On Procedures:** Guide people on how to properly follow customs procedures.
- **Use Math Skills:** Perform calculations to assess duties and taxes owed on goods.
- **Provide Testimony:** Sometimes, you might have to go to court to report your findings.
- **Write Reports and Communicate:** Write clear reports about your inspections and communicate effectively with others in your field.

In this role, you help protect the country, ensuring that trade regulations are followed and the borders remain secure.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"cyber incident responder","troubleshoot safetyengineering manageITsecuritycompliances manageICTchangerequestprocess buildingsystemsmonitoringtechnology performscientificresearch ethicalhackingprinciples performriskanalysis informationsecuritystrategy projectmanagement businessintelligence performprojectmanagement implementICTsecuritypolicies defencestandardprocedures cloudsecurityandcompliance manageateam managechangesinICTsystem ICTnetworksecurityrisks implementavirtualprivatenetwork C++ ICTprojectmanagementmethodologies Python(computerprogramming) Process-basedmanagement leanprojectmanagement provideuserdocumentation givelivepresentation implementafirewall embeddedsystems createprojectspecifications createincidentreports copyrightlegislation provideICTconsultingadvice ensureproperdocumentmanagement ICTsafety internetgovernance cyberattackcounter-measures securityengineering InternetofThings operatingsystems ICTsecuritystandards ICTsecuritylegislation cybersecurity cloudmonitoringandreporting webapplicationsecuritythreats ICTencryption protectpersonaldataandprivacy removecomputervirusormalwarefromacomputer implementanti-virussoftware leaddisasterrecoveryexercises managekeysfordataprotection cloudtechnologies monitorsystemperformance developinformationsecuritystrategy optimisechoiceofICTsolution leadershipprinciples communicatewithstakeholders operationaltacticsforemergencyresponses attackvectors trackkeyperformanceindicators securitythreats provideinformation definequalitystandards ensureinformationsecurity implementICTriskmanagement riskmanagement GDPR collectcyberdefencedata copewithstress incidentsandaccidentsrecording handlecybersecurityincidents engagewithstakeholders protectICTdevices ICTprocessqualitymodels consultwithbusinessclients managedigitalidentity implementspamprotection","**Job Title: Cyber Incident Responder**

**Job Description:**

A Cyber Incident Responder is like a digital superhero who helps companies stay safe from online threats. Every day, they wear many hats and use a toolkit filled with high-tech skills to keep computer systems and networks secure.

Their tasks include:
1. **Problem-solving:** Quickly finds and fixes security issues, stopping hackers from accessing important information.
2. **Upgrading Security:** They continuously update and improve security measures like firewalls and antivirus software to protect against new threats.
3. **Research and Strategy:** They constantly learn about new cyber threats and think of ways to defend against them by conducting experiments and planning smart security strategies.
4. **Managing Emergencies:** If a cyberattack happens, they lead the charge to limit the damage and get systems running normally again.
5. **Keeping Systems Updated:** They manage changes in computer systems and software to keep everything up-to-date and secure.
6. **Training and Advising:** They help others in their teams understand and handle security better, ensuring everyone knows what to do during different security situations.

Overall, their critical role helps companies avoid data breaches and cyberattacks, ensuring safety and confidentiality for businesses and their customers.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"cybersecurity risk manager","ICTsafety internalriskmanagementpolicy ethicalhackingprinciples informationsecuritystrategy ICTnetworksecurityrisks ICTsecuritystandards attackvectors cyberattackcounter-measures securitythreats riskmanagement securityengineering assessmentofrisksandthreats cybersecurity ICTperformanceanalysismethods establishanICTsecuritypreventionplan managesystemsecurity communicatewithstakeholders establishanInformationSecurityManagementSystem implementICTriskmanagement engagewithstakeholders ensureadherencetoorganisationalICTstandards adviceonsecurityriskmanagement domainnameservice systemsdevelopmentlife-cycle computerforensics cloudsecurityandcompliance ICTqualitypolicy decisionsupportsystems internetgovernance Outsourcingmodel hybridmodel audittechniques toolsforICTtestautomation ICTsecuritylegislation organisationalresilience service-orientedmodelling levelsofsoftwaretesting cloudmonitoringandreporting webapplicationsecuritythreats ICTprojectmanagement ICTproblemmanagementtechniques informationconfidentiality legalrequirementsofICTproducts Opensourcemodel investmentanalysis ICTrecoverytechniques ICTsystemuserrequirements mobiledevicemanagement ICTencryption InternetofThings ICTprocessqualitymodels useanapplication-specificinterface implementICTsecuritypolicies definetechnologystrategy developinformationsecuritystrategy definesecuritypolicies useICTticketingsystem managedisasterrecoveryplans developwithcloudservices executeICTaudits useback-upandrecoverytools removecomputervirusormalwarefromacomputer solveICTsystemproblems implementavirtualprivatenetwork implementanti-virussoftware implementcloudsecurityandcompliance implementspamprotection leaddisasterrecoveryexercises designfororganisationalcomplexity implementafirewall managekeysfordataprotection identifyICTsecurityrisks","**Job Title: Cybersecurity Risk Manager**

**Job Description:**

A Cybersecurity Risk Manager is like the guardian of a company’s digital world. Every day, they protect the company’s computer systems and networks from various types of cyberattacks—these could be hackers trying to steal information or viruses that can damage files.

Here’s what they do:

1. **Check Safety:** They constantly check and update the company's rules and tools to make sure everything is safe from digital threats.
2. **Strategy and Planning:** They plan how to keep the company’s data secure and come up with ways to defend against attacks before they happen.
3. **Testing and Fixes:** Like ethical hackers, they sometimes test the defenses by mimicking attacks to find vulnerabilities.
4. **Stay Updated:** They keep up with new security technology and laws to make sure the company is always ahead in security measures.
5. **Talk and Teach:** They communicate about risks and security with other employees and teach them how to avoid risks.
6. **Respond and Recover:** If a cyber-attack happens, they manage the situation by stopping the attack and recovering any lost data.

Overall, they help the company stay secure so it can keep running smoothly without any interruptions from cyber threats.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"dance répétiteur","understandthearchitectureofaliveperformance workinaninternationalenvironment stimulateperformers'imagination understandtheemotionaldimensionofaperformance understandthephysicallanguageofaliveperformance representartisticproduction identifyperformers'needs analyseascript maintainsafeworkingconditionsinperformingarts createaworkenvironmentwhereperformerscandeveloptheirpotential prepareperformancetrainingsession developthephysicallanguage labourlegislation developmethodsforchoreographicintegration analyseyourfightdisciplineexpertise developproposedchoreographiclanguage followtimecues readscripts managepersonalprofessionaldevelopment helpsetrehearsalschedule developacoachingstyle intellectualpropertylaw developanartisticframework describeartisticexperience inspireenthusiasmfordance createnewfightsequences manageartisticproject analysemusicscore performdances workwithrespectforownsafety linkbetweendanceandmusicstyle subjectofmusiccoaching preparerehearsals participateintechnicalaspectsoftheproduction testartistflyingsystems helpdocumentartisticworkatallstages rehearseartistflymovements helpsetperformanceschedule workwithbroadvarietyofpersonalities contributetothechoreographer'sprocessofreflection trainartistsinflying guideperformers'trainingsessions manageartisticcareer contributetothedevelopmentofacreativechoreography readdancescores createchoreographicmaterial developcodifiedmovements teachdance understandtheconceptualdimensionofaliveperformance promptperformers","**Job Title: Dance Répétiteur**

**Job Description:**

As a Dance Répétiteur, your role is vital in the preparation and execution of dance performances. You will be working closely with dancers, choreographers, and other artistic staff to ensure that every aspect of the performance is finely tuned and executed with precision. Your daily responsibilities include reading and analyzing scripts and dance scores to develop choreographic material that aligns with the artistic vision. 

You will guide and inspire dancers during rehearsals, helping them understand the emotional and physical language of the performance, while also developing their potential through specialized training sessions. Your goal is to stimulate performers' imagination and ensure their needs are met, maintaining a safe and supportive environment for them to excel.

Additionally, you'll manage rehearsal schedules, participate in technical aspects of the production, and contribute to creative choreography development. Your expertise in dance and ability to bridge the gap between dance and music will be crucial in achieving a cohesive performance.

This role requires an in-depth understanding of live performances, excellent communication skills, and the ability to work effectively in an international environment. You will be the linchpin that ensures the artistic integrity and seamless delivery of performances.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"dancer","understandthearchitectureofaliveperformance performlive workinaninternationalenvironment actingtechniques understandtheemotionaldimensionofaperformance understandthephysicallanguageofaliveperformance maintainsafeworkingconditionsinperformingarts developthephysicallanguage managefeedback bearolemodelincommunityarts labourlegislation developmethodsforchoreographicintegration analyseyourfightdisciplineexpertise developproposedchoreographiclanguage followtimecues managepersonalprofessionaldevelopment checktheproductionschedule matchneedsoftargetcommunitywithyourskills intellectualpropertylaw describeartisticexperience inspireenthusiasmfordance manageartisticproject studyrolesfromscripts analysemusicscore musicalgenres performdances attendrehearsals workwithrespectforownsafety workwithbroadvarietyofpersonalities manageartisticcareer readdancescores createchoreographicmaterial developcodifiedmovements teachdance understandtheconceptualdimensionofaliveperformance performwithmotioncaptureequipment workwithadanceteam self-promote developanartisticapproachtoyourinterpretation maintaindancetraining identifyrequirementsoftheworkintheartisticperformance interactwithfellowactors analyseownperformance interactwithanaudience followdirectionsoftheartisticdirector performfastchangeover workwithanartisticteam directcommunityartsactivities showinterculturalawareness demonstratespecialisationinadancetradition usedeclaimingtechniques sing","**Job Description: Professional Dancer**

As a professional dancer, you will perform choreographed movements to enthrall live audiences, often in international environments. Daily activities include attending rehearsals, studying roles from scripts, and analyzing music scores to perfect your performance. You will work closely with a team of dancers, directors, and choreographers to develop new dance material and refine existing choreographic language.

Understanding the architecture of a live performance is crucial. This means you'll manage time cues, understand the physical and emotional aspects of performance, and interact effectively with fellow performers and the audience. Safety is key—you’ll always ensure a secure environment for yourself and your peers during performances.

In addition, your role involves embodying the dance tradition you specialize in, creating an inspirational experience for the audience. Community engagement is also part of your job, where you might teach dance or direct community arts activities.

Continuous personal and professional development is required. This includes maintaining peak physical condition, managing your artistic career, and staying updated on labor and intellectual property laws relevant to performing arts.

Overall, your job is about combining physical skill, creative expression, and interaction to inspire and entertain.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
